marca;tipoComb;asp;numPorta;estiloCarroc;cavalosPot;picoRpm;milhas por galao(cidade);milhas por galao(estrada);preco US$
alfa-romero;Gas;std;2;convertible;111;5000;21;27;16500
alfa-romero;Gas;std;2;hatchback;154;5000;19;26;16500
audi;Gas;std;4;wagon;110;5500;19;25;18920
audi;Gas;turbo;4;sedan;140;5500;17;20;23875
bmw;Gas;std;2;sedan;101;5800;23;29;16430
bmw;Gas;std;4;sedan;101;5800;23;29;16925
dodge;Gas;turbo;2;hatchback;145;5000;19;24;12964
honda;Gas;std;4;wagon;76;6000;30;34;7295
honda;Gas;std;2;sedan;100;5500;25;31;10345
jaguar;Gas;std;2;sedan;262;5000;13;17;36000
mercedes-benz;diesel;turbo;4;wagon;123;4350;22;25;28248
mercedes-benz;diesel;turbo;2;hardtop;123;4350;22;25;28176
mitsubishi;Gas;std;4;sedan;88;5000;25;32;8189
mitsubishi;Gas;turbo;4;sedan;116;5500;23;30;9279
nissan;Gas;std;4;wagon;152;5200;17;22;14399
nissan;Gas;turbo;2;hatchback;200;5200;17;23;19699
nissan;Gas;std;2;hatchback;160;5200;19;25;18399
porsche;Gas;std;2;hatchback;143;5500;19;27;22018
porsche;Gas;std;2;hardtop;207;5900;17;25;34028
porsche;Gas;std;2;convertible;207;5900;17;25;37028
subaru;Gas;turbo;4;sedan;111;4800;24;29;11259
subaru;Gas;turbo;4;wagon;111;4800;23;23;11694
toyota;diesel;turbo;4;sedan;73;4500;30;33;10698
toyota;Gas;std;4;wagon;156;5200;19;24;15750
volkswagen;Gas;std;2;convertible;90;5500;24;29;11595
volkswagen;Gas;std;4;wagon;88;5500;25;31;12290
volvo;Gas;std;4;sedan;114;5400;23;28;12940
volvo;diesel;turbo;4;sedan;106;4800;26;27;22470
